Model,Organization,Publication date,Confidence,Country,Confidence_level
DL scaling Image,Baidu,2017-12-01,Confident,China,5
TriNet,"Visual Computing Institute,RWTH Aachen University",2017-11-21,Unknown,Group of Countries,0
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",Carnegie Mellon University (CMU),2017-11-10,Likely,United States of America,4
VQ-VAE,DeepMind,2017-11-02,Unknown,United Kingdom of Great Britain and Northern Ireland,0
Fraternal dropout + AWD-LSTM 3-layer (WT2),"Jagiellonian University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",2017-10-31,Likely,Group of Countries,4
DCN+,Salesforce Research,2017-10-31,Confident,United States of America,5
S-Norm,"University of Washington,Allen Institute for AI",2017-10-29,Confident,Group of Countries,5
PhraseCond,"Carnegie Mellon University (CMU),University of Pittsburgh",2017-10-28,Confident,Group of Countries,5
ProgressiveGAN,NVIDIA,2017-10-27,Unknown,United States of America,0
AlphaGo Master,DeepMind,2017-10-19,Likely,United Kingdom of Great Britain and Northern Ireland,4
AlphaGo Zero,DeepMind,2017-10-18,Confident,United Kingdom of Great Britain and Northern Ireland,5
Rainbow DQN,DeepMind,2017-10-06,Unknown,United Kingdom of Great Britain and Northern Ireland,0
AWD-LSTM+WT+Cache+IOG (WT2),NTT Communication Science Laboratories,2017-09-26,Confident,Japan,5
LSTM + dynamic eval,University of Edinburgh,2017-09-21,Likely,United Kingdom of Great Britain and Northern Ireland,4
ISS,"Duke University,Microsoft",2017-09-15,Confident,Group of Countries,5
PyramidNet,Korea Advanced Institute of Science and Technology (KAIST),2017-09-06,Likely,Korea (Republic of),4
SENet (ImageNet),"Chinese Academy of Sciences,University of Oxford",2017-09-05,Unspecified,Group of Countries,0
GL-LWGC-AWD-MoS-LSTM + dynamic evaluation (WT2),Ben-Gurion University of the Negev,2017-08-29,Confident,Israel,5
Libratus,Carnegie Mellon University (CMU),2017-08-19,Likely,United States of America,4
NeuMF (Pinterest),"Shandong University,Texas A&M,National University of Singapore,Columbia University",2017-08-16,Unknown,Group of Countries,0
EI-REHN-1000D,Korea Advanced Institute of Science and Technology (KAIST),2017-08-14,Confident,Korea (Republic of),5
OpenAI TI7 DOTA 1v1,OpenAI,2017-08-11,Confident,United States of America,5
RetinaNet-R101,Facebook AI Research,2017-08-07,Confident,Group of Countries,5
RetinaNet-R50,Facebook AI Research,2017-08-07,Unspecified,Group of Countries,0
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),Salesforce Research,2017-08-07,Confident,United States of America,5
GSM,"Peking University,Microsoft Research",2017-07-30,Likely,Group of Countries,4
ConvS2S (ensemble of 8 models),Meta AI,2017-07-25,Likely,United States of America,4
PSPNet,Chinese University of Hong Kong (CUHK),2017-07-21,Unknown,Hong Kong,0
NASNet-A,Google Brain,2017-07-21,Unspecified,United States of America,0
AWD-LSTM,"DeepMind,University of Oxford",2017-07-18,Confident,Group of Countries,5
JFT,"Google Research,Carnegie Mellon University (CMU)",2017-07-10,Confident,Group of Countries,5
DeepLoc,"Technical University of Denmark,University of Copenhagen",2017-07-07,Likely,Group of Countries,4
ShuffleNet v1,Megvii Inc,2017-07-03,Unspecified,China,0
NoisyNet-Dueling,DeepMind,2017-06-30,Unknown,United Kingdom of Great Britain and Northern Ireland,0
DeepLabV3,Google,2017-06-17,Unknown,United States of America,0
HRA,"Maluuba,Microsoft",2017-06-13,Unknown,Group of Countries,0
Transformer,"Google Research,Google Brain",2017-06-12,Confident,Group of Countries,5
EDSR,Seoul National University,2017-06-10,Unknown,Korea (Republic of),0
Reading Twice for NLU,DeepMind,2017-06-08,Unknown,United Kingdom of Great Britain and Northern Ireland,0
PointNet++,Stanford University,2017-06-07,Unknown,United States of America,0
Inflated 3D ConvNet,"DeepMind,University of Oxford",2017-06-01,Unknown,Group of Countries,0
SRGAN,Twitter,2017-05-25,Unknown,United States of America,0
Mnemonic Reader,"Fudan University,Microsoft Research",2017-05-08,Confident,Group of Countries,5
DeepLab (2017),"Johns Hopkins University,Google,University College London (UCL)",2017-04-27,Unknown,Group of Countries,0
MobileNet,Google,2017-04-17,Unspecified,United States of America,0
WGAN-GP,"Courant Institute of Mathematical Sciences,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",2017-03-31,Unknown,Group of Countries,0
Mask R-CNN,Facebook AI Research,2017-03-30,Unknown,Group of Countries,0
Prototypical networks,"University of Toronto,Twitter",2017-03-15,Unknown,Group of Countries,0
DnCNN,"Harbin Institute of Technology,Hong Kong Polytechnic University,ULSee Inc.,Xi’an Jiaotong University",2017-02-01,Unknown,Group of Countries,0
MoE-Multi,"Jagiellonian University,Google Brain",2017-01-23,Confident,Group of Countries,5
OR-WideResNet,"Duke University,University of Chinese Academy of Sciences",2017-01-07,Confident,Group of Countries,5
DeepStack,"University of Alberta,Charles University,Czech Technical University",2017-01-06,Speculative,Group of Countries,3
YOLOv2,"University of Washington,Allen Institute for AI",2016-12-25,Unspecified,Group of Countries,0
EnhanceNet,Max Planck Institute for Intelligent Systems,2016-12-23,Confident,Germany,5
3DMM-CNN,University of Southern California,2016-12-15,Confident,United States of America,5
HR-ResNet101,Carnegie Mellon University (CMU),2016-12-13,Confident,United States of America,5
GAN-Advancer,OpenAI,2016-12-05,Unknown,United States of America,0
PointNet,Stanford University,2016-12-02,Unknown,United States of America,0
Elastic weight consolidation,DeepMind,2016-12-02,Unknown,United Kingdom of Great Britain and Northern Ireland,0
Image-to-image cGAN,University of California (UC) Berkeley,2016-11-21,Unknown,United States of America,0
PolyNet,Chinese University of Hong Kong (CUHK),2016-11-17,Likely,Hong Kong,4
ResNeXt-101 (64×4d),"University of California San Diego,Facebook",2016-11-16,Confident,Group of Countries,5
ResNeXt-50,"University of California San Diego,Facebook",2016-11-16,Likely,Group of Countries,4
DAC-CSR,"Jiangnan University,University of Surrey",2016-11-16,Confident,Group of Countries,5
DTN (Domain Transfer Network),Facebook AI Research,2016-11-07,Unknown,Group of Countries,0
DLDL (PASCAL),University of Oxford,2016-11-06,Likely,United Kingdom of Great Britain and Northern Ireland,4
NASv3 (CIFAR-10),Google Brain,2016-11-05,Likely,United States of America,4
NAS with base 8 and shared embeddings,Google Brain,2016-11-05,Confident,United States of America,5
BIDAF,"University of Washington,Allen Institute for AI",2016-11-05,Confident,Group of Countries,5
VD-LSTM+REAL Large,"Salesforce Research,Stanford University",2016-11-04,Confident,Group of Countries,5
SPIDER2,"Griffith University,University of Iowa,Dezhou University",2016-10-28,Likely,Group of Countries,4
GAWWN,"University of Michigan,Max Planck Institute for Informatics",2016-10-08,Confident,Group of Countries,5
Xception,Google,2016-10-07,Confident,United States of America,5
Pointer Sentinel-LSTM (medium),"MetaMind Inc,Salesforce",2016-09-26,Confident,Group of Countries,5
GNMT,Google,2016-09-26,Likely,United States of America,4
Wide Residual Network,Université Paris-Est,2016-09-19,Unknown,France,0
ResNet-1001,Microsoft,2016-09-17,Unspecified,United States of America,0
ResNet-200,Microsoft Research Asia,2016-09-17,Speculative,China,3
Youtube recommendation model,Google,2016-09-15,Unknown,United States of America,0
WaveNet,Google DeepMind,2016-09-12,Unknown,United States of America,0
MS-ensemble-speech-recognition,Microsoft,2016-09-12,Likely,United States of America,4
LF-MMI,"Johns Hopkins University,Cornell University",2016-09-08,Confident,Group of Countries,5
DenseNet-264,"Tsinghua University,Facebook AI Research,Cornell University",2016-08-25,Confident,Group of Countries,5
SimpleNet,"Sensifai,Islamic Azad University,Technicolor R&I,Institute for Research in Fundamental Sciences (IPM)",2016-08-22,Confident,Group of Countries,5
Character-enriched word2vec,Facebook AI Research,2016-07-15,Unknown,Group of Countries,0
CCL,"SenseTime,Chinese University of Hong Kong (CUHK),Chinese Academy of Sciences",2016-06-27,Confident,Group of Countries,5
R-FCN,"Tsinghua University,Microsoft Research",2016-06-21,Confident,Group of Countries,5
Segmental RNN,"University of Edinburgh,Carnegie Mellon University (CMU),University of Washington",2016-06-20,Unknown,Group of Countries,0
CMS-RCNN,IEEE,2016-06-17,Likely,Multinational,4
PixelCNN,Google DeepMind,2016-06-16,Unknown,United States of America,0
LRR-4X,UC Irvine,2016-05-08,Likely,United States of America,4
Gated HORNN (3rd order),York University,2016-04-30,Unspecified,Canada,0
Dueling DQN,Google DeepMind,2016-04-05,Confident,United States of America,5
"Template Adaptation
",University of Oxford,2016-03-12,Likely,United Kingdom of Great Britain and Northern Ireland,4
Named Entity Recognition model,Carnegie Mellon University (CMU),2016-03-04,Confident,United States of America,5
Double DQN,Google DeepMind,2016-03-02,Confident,United States of America,5
SqueezeNet,"DeepScale,University of California (UC) Berkeley,Stanford University",2016-02-24,Unspecified,Group of Countries,0
Inceptionv4,Google,2016-02-23,Unspecified,United States of America,0
Inception-ResNet-V2,Google,2016-02-23,Unspecified,United States of America,0
A3C FF hs,"Google,University of Montreal / Université de Montréal",2016-02-04,Unknown,Group of Countries,0
AlphaGo Lee,DeepMind,2016-01-27,Speculative,United Kingdom of Great Britain and Northern Ireland,3
"Variational (untied weights, MC) LSTM (Large)",University of Cambridge,2015-12-16,Confident,United Kingdom of Great Britain and Northern Ireland,5
Advantage Learning,Google DeepMind,2015-12-15,Unknown,United States of America,0
ResNet-152 (ImageNet),Microsoft,2015-12-10,Confident,United States of America,5
ResNet-110 (CIFAR-10),Microsoft,2015-12-10,Unspecified,United States of America,0
ResNet-101 (ImageNet),Microsoft,2015-12-10,Confident,United States of America,5
SSD,Unspecified,2015-12-08,Confident,Unspecified,5
Inception v3,"Google,University College London (UCL)",2015-12-02,Likely,Group of Countries,4
Netflix Recommender System,Netflix,2015-12-01,Unknown,United States of America,0
Multi-scale Dilated CNN,"Princeton University,Intel Labs",2015-11-23,Unknown,Group of Countries,0
3DDFA,"Chinese Academy of Sciences,Michigan State University",2015-11-23,Confident,Group of Countries,5
SAF R-CNN,"Beijing Institute of Technology,Sun Yat-sen University,Panasonic R&D,National University of Singapore",2015-10-28,Likely,Group of Countries,4
AlphaGo Fan,DeepMind,2015-10-01,Likely,United Kingdom of Great Britain and Northern Ireland,4
Deep Deterministic Policy Gradients,Google DeepMind,2015-09-09,Unknown,United States of America,0
BPE,University of Edinburgh,2015-08-31,Unspecified,United Kingdom of Great Britain and Northern Ireland,0
DCNN,"University of Maryland,Rutgers University",2015-08-07,Confident,Group of Countries,5
Deep CNN + COTS,IEEE,2015-07-26,Confident,Multinational,5
CompACT-Deep,University of California San Diego,2015-07-19,Confident,United States of America,5
BatchNorm,Google,2015-06-15,Confident,United States of America,5
YOLO,"University of Washington,Allen Institute for AI,Facebook AI Research",2015-06-08,Unspecified,Group of Countries,0
CFSS,"SenseTime,Chinese University of Hong Kong (CUHK),Shenzhen Institute of Advanced Technology",2015-06-07,Likely,Group of Countries,4
Faster R-CNN,Microsoft Research,2015-06-04,Unknown,United States of America,0
U-Net,University of Freiburg,2015-05-18,Confident,Germany,5
Fast R-CNN,Microsoft Research,2015-04-30,Unknown,United States of America,0
TC-DNN-BLSTM-DNN,Carnegie Mellon University (CMU),2015-04-06,Confident,United States of America,5
genCNN + dyn eval,"Chinese Academy of Sciences,Huawei Noah's Ark Lab,Dublin City University",2015-03-17,Speculative,Group of Countries,3
DQN-2015,Google,2015-02-25,Unspecified,United States of America,0
TRPO,University of California (UC) Berkeley,2015-02-19,Confident,United States of America,5
"MSRA (C, PReLU)",Microsoft Research,2015-02-06,Confident,United States of America,5
VGG-Face,University of Oxford,2015-01-01,Confident,United Kingdom of Great Britain and Northern Ireland,5
ADAM (CIFAR-10),"University of Amsterdam,OpenAI,University of Toronto",2014-12-22,Confident,Group of Countries,5
Fractional Max-Pooling,University of Warwick,2014-12-18,Likely,United Kingdom of Great Britain and Northern Ireland,4
SNM-skip,Google,2014-12-03,Speculative,United States of America,3
TA-CNN,Chinese University of Hong Kong (CUHK),2014-11-29,Likely,Hong Kong,4
Cascaded LNet-ANet,Chinese University of Hong Kong (CUHK),2014-11-28,Unknown,Hong Kong,0
Fully Convolutional Networks,University of California (UC) Berkeley,2014-11-14,Unknown,United States of America,0
SC-NLM,University of Toronto,2014-11-10,Confident,Canada,5
LRCN,"UT Austin,University of Massachusetts Lowell,University of California (UC) Berkeley",2014-11-07,Unspecified,Group of Countries,0
Spatially-Sparse CNN,University of Warwick,2014-09-23,Unknown,United Kingdom of Great Britain and Northern Ireland,0
Deeply-supervised nets,Microsoft Research,2014-09-18,Unspecified,United States of America,0
GoogLeNet / InceptionV1,"Google,University of Michigan,University of North Carolina",2014-09-17,Confident,Group of Countries,5
SPN-4+KN5,"Singapore University of Technology & Design,DSO National Laboratories",2014-09-14,Likely,Group of Countries,4
Seq2Seq LSTM,Google,2014-09-10,Confident,United States of America,5
VGG19,University of Oxford,2014-09-04,Likely,United Kingdom of Great Britain and Northern Ireland,4
VGG16,University of Oxford,2014-09-04,Confident,United Kingdom of Great Britain and Northern Ireland,5
RNNsearch-50*,"Jacobs University Bremen,University of Montreal / Université de Montréal",2014-09-01,Confident,Group of Countries,5
NPD,IEEE,2014-08-06,Confident,Multinational,5
ACF-WIDER,Chinese Academy of Sciences,2014-07-15,Confident,China,5
SmooCT,University College London (UCL),2014-07-01,Likely,United Kingdom of Great Britain and Northern Ireland,4
Multiresolution CNN,"Google,Stanford University",2014-06-23,Unspecified,Group of Countries,0
DeepFace,"Tel Aviv University,Facebook",2014-06-23,Unknown,Group of Countries,0
RNN-WER,"DeepMind,University of Toronto",2014-06-22,Likely,Group of Countries,4
Fragment embedding,Stanford University,2014-06-21,Likely,United States of America,4
SPPNet,"Microsoft,Xi’an Jiaotong University,University of Science and Technology of China (USTC)",2014-06-18,Confident,Group of Countries,5
GANs,University of Montreal / Université de Montréal,2014-06-10,Speculative,Canada,3
Two-stream ConvNets for action recognition,University of Oxford,2014-06-09,Unknown,United Kingdom of Great Britain and Northern Ireland,0
GRUs,"University of Montreal / Université de Montréal,Jacobs University,University of Maine",2014-06-03,Unknown,Group of Countries,0
Dropout: SVHN,University of Toronto,2014-06-01,Confident,Canada,5
AdaRNN,Beihang University,2014-06-01,Confident,China,5
Paragraph Vector,Google,2014-05-14,Confident,United States of America,5
HyperNEAT,University of Texas at Austin,2014-03-05,Unspecified,United States of America,0
GloVe (32B),Stanford University,2014-01-01,Unspecified,United States of America,0
GloVe (6B),Stanford University,2014-01-01,Unspecified,United States of America,0
OverFeat,New York University (NYU),2013-12-21,Confident,United States of America,5
Image generation,University of Amsterdam,2013-12-20,Confident,Netherlands,5
DQN,DeepMind,2013-12-19,Confident,United Kingdom of Great Britain and Northern Ireland,5
Network in Network,National University of Singapore,2013-12-16,Unknown,Singapore,0
RNN for 1B words,Google,2013-12-11,Speculative,United States of America,3
TransE,"Universite de Technologie de Compiègne – CNRS,Google",2013-12-05,Speculative,Group of Countries,3
DeViSE,Google,2013-12-05,Confident,United States of America,5
Visualizing CNNs,New York University (NYU),2013-11-12,Confident,United States of America,5
R-CNN (T-net),University of California (UC) Berkeley,2013-11-11,Unspecified,United States of America,0
Word2Vec (small),Google,2013-10-16,Unspecified,United States of America,0
Word2Vec (large),Google,2013-10-16,Likely,United States of America,4
RNTN,Stanford University,2013-10-01,Likely,United States of America,4
RCTM,University of Oxford,2013-10-01,Likely,United Kingdom of Great Britain and Northern Ireland,4
Hierarchical Scene Labeling (Stanford Background),New York University (NYU),2013-08-01,Confident,United States of America,5
ReLU-Speech,"Google,University of Toronto,New York University (NYU)",2013-05-26,Likely,Group of Countries,4
Multilingual DNN,Google,2013-05-26,Confident,United States of America,5
Selective Search,"University of Trento,University of Amsterdam",2013-04-02,Unknown,Group of Countries,0
PreTrans-3L-250H,University of Toronto,2013-03-22,Unspecified,Canada,0
DistBelief NNLM,Google,2013-01-16,Likely,United States of America,4
DNN EM segmentation,"IDSIA,SUPSI",2012-12-03,Confident,Group of Countries,5
DistBelief Vision,Google,2012-12-03,Likely,United States of America,4
DistBelief Speech,Google,2012-12-03,Speculative,United States of America,3
Bayesian automated hyperparameter tuning,"University of Toronto,University of Sherbrooke,Harvard University",2012-12-02,Unknown,Group of Countries,0
RNN+LDA+KN5+cache,"Microsoft,Brno University of Technology",2012-12-01,Unspecified,Group of Countries,0
AlexNet,University of Toronto,2012-09-30,Confident,Canada,5
LSTM LM,RWTH Aachen University,2012-09-09,Speculative,Germany,3
Context-dependent RNN,"Microsoft Research,Brno University of Technology",2012-07-27,Unknown,Group of Countries,0
Unsupervised High-level Feature Learner,Google,2012-07-12,Likely,United States of America,4
Dropout (TIMIT),University of Toronto,2012-06-03,Unspecified,Canada,0
Dropout (MNIST),University of Toronto,2012-06-03,Confident,Canada,5
Dropout (ImageNet),University of Toronto,2012-06-03,Confident,Canada,5
Dropout (CIFAR),University of Toronto,2012-06-03,Confident,Canada,5
NLP from scratch,"NEC Laboratories,Princeton University",2011-11-08,Unspecified,Group of Countries,0
CNN committee (traffic sign),IDSIA,2011-10-03,Likely,Switzerland,4
Adaptive Subgrad,"Technion - Israel Institute of Technology,Google,University of California (UC) Berkeley",2011-10-03,Unknown,Group of Countries,0
CNN Committee (NIST),IDSIA,2011-09-18,Likely,Switzerland,4
CNN Committee (MNIST),IDSIA,2011-09-18,Likely,Switzerland,4
High Performance CNN (NORB),"IDSIA,SUPSI",2011-07-16,Likely,Group of Countries,4
Recursive Neural Network,Stanford University,2011-06-28,Confident,United States of America,5
Vector Space Model,Stanford University,2011-06-19,Confident,United States of America,5
Cross-Lingual POS Tagger,"Carnegie Mellon University (CMU),Google Research",2011-06-19,Unknown,Group of Countries,0
Deep Autoencoders,University of Toronto,2011-04-29,Confident,Canada,5
Deep rectifier networks,University of Montreal / Université de Montréal,2011-04-13,Unknown,Canada,0
YouTube Video Recommendation System,Google,2010-09-26,Unspecified,United States of America,0
RNN LM,Johns Hopkins University,2010-09-26,Speculative,United States of America,3
Pooling CNN (NORB),University of Bonn,2010-09-15,Confident,Germany,5
Pooling CNN (Caltech 101),University of Bonn,2010-09-15,Confident,Germany,5
ReLU (NORB),University of Toronto,2010-06-15,Unspecified,Canada,0
ReLU (LFW),University of Toronto,2010-06-15,Unknown,Canada,0
iCCCP,Massachusetts Institute of Technology (MIT),2010-06-13,Confident,United States of America,5
Feedforward NN,University of Montreal / Université de Montréal,2010-05-13,Confident,Canada,5
Stacked Denoising Autoencoders,"University of Montreal / Université de Montréal,University of Toronto",2010-01-03,Unknown,Group of Countries,0
Super-vector coding,"University of Illinois Urbana-Champaign (UIUC),NEC Laboratories,Rutgers University",2010-01-01,Speculative,Group of Countries,3
LCNP NORB,Unspecified,2009-11-22,Confident,Unspecified,5
LCNP MNIST,Unspecified,2009-11-22,Confident,Unspecified,5
LCNP LabelMe,University of Bonn,2009-11-22,Confident,Germany,5
BellKor 2007,AT&T,2009-09-21,Unspecified,United States of America,0
Two Stage Feature Extraction (MNIST),New York University (NYU),2009-09-01,Confident,United States of America,5
MatrixFac for Recommenders,"Yahoo Research,AT&T",2009-08-07,Unspecified,Group of Countries,0
Pragmatic Theory solution (Netflix 2009),Pragmatic Theory Inc.,2009-08-01,Confident,Canada,5
BigChaos OptiBlend,AT&T,2009-08-01,Unspecified,United States of America,0
BellKor 2009,AT&T,2009-08-01,Unspecified,United States of America,0
BellKor 2008,AT&T,2009-08-01,Unspecified,United States of America,0
GPU DBNs,Stanford University,2009-06-15,Confident,United States of America,5
RBM Image Classifier,University of Toronto,2009-04-08,Likely,Canada,4
BP-DBN,University of Toronto,2009-01-01,Confident,Canada,5
GNN,University of Siena,2008-12-09,Confident,Italy,5
HLBL,University of Toronto,2008-12-08,Confident,Canada,5
BigChaos 2008,AT&T,2008-11-25,Unspecified,United States of America,0
Sparse digit recognition SVM,University of Lubeck,2008-11-19,Unknown,Germany,0
Denoising Autoencoders,University of Montreal / Université de Montréal,2008-07-05,Unknown,Canada,0
Deep Multitask NLP Network,NEC Laboratories,2008-07-05,Speculative,United States of America,3
BLSTM for handwriting (2),"University of Bern,IDSIA,Technical University of Munich",2007-12-03,Unspecified,Group of Countries,0
Enhanced Neighborhood-Based Filtering,AT&T,2007-10-28,Unknown,United States of America,0
BLSTM for handwriting (1),"University of Bern,IDSIA,Technical University of Munich",2007-09-23,Unknown,Group of Countries,0
SB-LM,Google,2007-06-22,Likely,United States of America,4
KN-LM,Google,2007-06-22,Likely,United States of America,4
λ-WASP,UT Austin,2007-06-01,Unspecified,United States of America,0
Greedy layer-wise DNN training,University of Montreal / Université de Montréal,2006-12-04,Unknown,Canada,0
Local Binary Patterns for facial recognition,"University of Oulu,IEEE",2006-12-01,Unknown,Group of Countries,0
Dimensionality Reduction,University of Toronto,2006-07-18,Unspecified,Canada,0
Deep Belief Nets,"University of Toronto,National University of Singapore",2006-07-18,Unspecified,Group of Countries,0
SVM-CNN,New York University (NYU),2006-06-17,Confident,United States of America,5
Spatial Pyramid Matching,"INRIA,University of Illinois Urbana-Champaign (UIUC),Ecole Normale Supèrieure",2006-06-17,Unknown,Group of Countries,0
Crazy Stone,INRIA,2006-05-29,Unknown,France,0
FAST,University of Cambridge,2006-05-07,Unknown,United Kingdom of Great Britain and Northern Ireland,0
TFE SVM,"Centre de Recherche en Automatique de Nancy (CRAN),CENPARMI",2006-02-02,Unknown,Group of Countries,0
RankNet,"Microsoft Research,Microsoft",2005-08-07,Confident,Group of Countries,5
Histograms of Oriented Gradients,INRIA,2005-06-25,Unspecified,France,0
Hierarchical LM,Unspecified,2005-01-06,Confident,Unspecified,5
LMICA,Unspecified,2004-12-01,Confident,Unspecified,5
Invariant CNN,New York University (NYU),2004-06-27,Confident,United States of America,5
NPLM (Brown),University of Montreal / Université de Montréal,2003-03-15,Confident,Canada,5
NPLM (AP News),University of Montreal / Université de Montréal,2003-03-15,Confident,Canada,5
LDA,Stanford University,2003-02-02,Unknown,United States of America,0
Statistical Shape Constellations,California Institute of Technology,2003-01-01,Unknown,United States of America,0
Thumbs Up?,"Cornell University,IBM",2002-05-28,Unspecified,Group of Countries,0
Decision tree (classification),"Mitsubishi Electric Research Labs,Compaq CRL",2001-12-08,Likely,Group of Countries,4
Gradient Boosting Machine,Stanford University,2001-10-01,Unknown,United States of America,0
Immediate trihead,Brown University,2001-07-06,Unknown,United States of America,0
PoE MNIST,University College London (UCL),2000-11-28,Confident,United Kingdom of Great Britain and Northern Ireland,5
Neural LM,University of Montreal / Université de Montréal,2000-11-28,Confident,Canada,5
IBM Model 4,"University of Southern California,IBM,University of Pennsylvania",1999-07-02,Unspecified,Group of Countries,0
RECONTRA-uncategorized,Unspecified,1999-06-02,Likely,Unspecified,4
RECONTRA-categorized,Unspecified,1999-06-02,Likely,Unspecified,4
LSTM with forget gates,IDSIA,1999-01-02,Unspecified,Switzerland,0
LeNet-5,AT&T,1998-11-01,Confident,United States of America,5
LSTM,Technical University of Munich,1997-11-15,Confident,Germany,5
Bidirectional RNN,Advanced Telecommunications Research Institute,1997-11-01,Unspecified,Japan,0
Deep Blue,IBM,1997-05-01,Speculative,United States of America,3
SOM-CNN,Unspecified,1997-01-31,Confident,Unspecified,5
AdaBoost.M2 Digit Recognition,AT&T,1996-07-03,Confident,United States of America,5
System 11,Carnegie Mellon University (CMU),1996-06-18,Confident,United States of America,5
MUSIC perceptron,Unspecified,1996-06-03,Confident,Unspecified,5
LISSOM,University of Texas at Austin,1995-11-27,Likely,United States of America,4
Support Vector Machines,"AT&T,Bell Laboratories",1995-09-01,Unspecified,Group of Countries,0
Predictive Coding NN,Technical University of Munich,1994-12-02,Confident,Germany,5
NeuroChess,Unspecified,1994-12-02,Speculative,Unspecified,3
Mixture of linear models,Unspecified,1994-12-02,Likely,Unspecified,4
JPMAX,Unspecified,1994-12-02,Speculative,Unspecified,3
GroupLens,Massachusetts Institute of Technology (MIT),1994-10-22,Unspecified,United States of America,0
Ceramic-MLP,Sapienza Università di Roma,1994-01-07,Likely,Italy,4
ANN Eye Tracker,Unspecified,1993-11-29,Confident,Unspecified,5
Siamese-TDNN,Bell Laboratories,1993-08-01,Likely,United States of America,4
IBM-5,IBM,1993-06-15,Unspecified,United States of America,0
Boosting,Bell Laboratories,1992-11-30,Likely,United States of America,4
Cancer drug mechanism prediction,National Cancer Institute,1992-10-16,Likely,United States of America,4
Golem,Alan Turing Institute,1992-10-01,Confident,United Kingdom of Great Britain and Northern Ireland,5
TD-Gammon,IBM,1992-05-01,Speculative,United States of America,3
Weight Decay,Unspecified,1991-12-02,Confident,Unspecified,5
RAAM,Unspecified,1990-11-01,Confident,Unspecified,5
SexNet compression,Unspecified,1990-10-01,Confident,Unspecified,5
SexNet classification,Unspecified,1990-10-01,Likely,Unspecified,4
ISR network,Stanford University,1990-10-01,Confident,United States of America,5
Bankruptcy-NN,Unspecified,1990-06-17,Confident,Unspecified,5
NETtalk reimplementation,Oregon State University,1990-06-01,Confident,United States of America,5
Zip CNN,"AT&T,Bell Laboratories",1989-12-01,Confident,Group of Countries,5
Speaker-independent vowel classification,University of Washington,1989-11-27,Confident,United States of America,5
Handwritten digit recognition network,AT&T,1989-11-27,Confident,United States of America,5
Truck backer-upper,Stanford University,1989-06-18,Confident,United States of America,5
Invariant image recognition,Complutense University of Madrid,1989-06-18,Confident,Spain,5
Q-learning,University of London,1989-01-01,Unknown,United Kingdom of Great Britain and Northern Ireland,0
MLP baggage detector,Science Applications International Corporation / SAIC,1989-01-01,Confident,United States of America,5
MLN-ASR,McGill University,1988-08-01,Confident,Canada,5
Latent semantic analysis,"University of Chicago,Bell Laboratories,University of Western Ontario",1988-04-05,Unknown,Group of Countries,0
Translation-invariant MLP,Carnegie Mellon University (CMU),1987-06-15,Confident,United States of America,5
NetTalk (transcription),Princeton University,1987-06-06,Confident,United States of America,5
NetTalk (dictionary),Princeton University,1987-06-06,Confident,United States of America,5
Optimized Multi-Scale Edge Detection,Massachusetts Institute of Technology (MIT),1986-11-01,Unknown,United States of America,0
MLP with back-propagation,"University of California San Diego,Carnegie Mellon University (CMU)",1986-10-01,Confident,Group of Countries,5
Distributed representation NN,Carnegie Mellon University (CMU),1986-08-15,Confident,United States of America,5
Error Propagation,"University of California San Diego,Carnegie Mellon University (CMU)",1986-01-03,Unknown,Group of Countries,0
Hierarchical Cognitron,NHK Broadcasting Science Research Laboratories,1984-04-01,Speculative,Japan,3
ASE+ACE,University of Massachusetts Amherst,1983-09-01,Likely,United States of America,4
Hopfield network,California Institute of Technology,1982-04-01,Unspecified,United States of America,0
Kohonen network,Helsinki University of Technology,1981-07-25,Unspecified,Finland,0
Neocognitron,NHK Broadcasting Science Research Laboratories,1980-04-01,Confident,Japan,5
Transfer Learning,University of Zagreb,1976-07-01,Unknown,Croatia,0
Cognitron,Biological Cybernetics,1975-09-01,Confident,Japan,5
Piecewise linear model,University of Kansas,1973-11-01,Confident,United States of America,5
Decision tree adaline,Tokyo Medical and Dental University,1969-05-01,Confident,Japan,5
GLEE,University of Edinburgh,1968-07-01,Unknown,United Kingdom of Great Britain and Northern Ireland,0
Boxes (pole),University of Edinburgh,1968-07-01,Unknown,United Kingdom of Great Britain and Northern Ireland,0
LTE speaker verification system,IBM,1966-11-01,Likely,United States of America,4
Heuristic Reinforcement Learning,Purdue University,1965-10-01,Speculative,United States of America,3
Print Recognition Logic,IBM,1963-01-01,Speculative,United States of America,3
MADALINE I,Stanford University,1962-07-01,Unknown,United States of America,0
Linear Decision Functions,Bell Laboratories,1962-06-01,Speculative,United States of America,3
ADALINE,Stanford University,1960-06-30,Confident,United States of America,5
Perceptron (1960),Cornell Aeronautical Laboratory,1960-03-30,Speculative,United States of America,3
Pattern recognition and reading by machine,Sandia Corporation,1959-12-01,Unspecified,United States of America,0
Samuel Neural Checkers,IBM,1959-07-01,Likely,United States of America,4
Pandemonium (morse),Massachusetts Institute of Technology (MIT),1959-02-01,Speculative,United States of America,3
